StimuliImages,CorrAns1,TrialImages,CorrAns,Train_pos_neg.thisRepN,Train_pos_neg.thisTrialN,Train_pos_neg.thisN,Train_pos_neg.thisIndex,superloop.thisRepN,superloop.thisTrialN,superloop.thisN,superloop.thisIndex,superloop.thisTrial,Train_target_stimuli.thisRepN,Train_target_stimuli.thisTrialN,Train_target_stimuli.thisN,Train_target_stimuli.thisIndex,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_7.keys,key_resp_7.corr,key_resp_7.rt,session,participant,version,frameRate,expName,date,order,
Hurt.jpg,l,,,0,0,0,3,,,,,,,,,,l,1,0.95506001831,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Joy.jpg,a,,,0,1,1,8,,,,,,,,,,l,0,0.712223829853,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Bad.jpg,l,,,0,2,2,1,,,,,,,,,,l,1,1.11515820823,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Evil.jpg,l,,,0,3,3,7,,,,,,,,,,l,1,0.812551501031,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Pleasure.jpg,a,,,0,4,4,4,,,,,,,,,,a,1,7.7624668414,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Good.jpg,a,,,0,5,5,0,,,,,,,,,,a,1,0.612315791264,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Nasty.jpg,l,,,0,6,6,9,,,,,,,,,,l,1,0.579099423305,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Happy.jpg,a,,,0,7,7,2,,,,,,,,,,a,1,0.595717284346,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Agony.jpg,l,,,0,8,8,5,,,,,,,,,,l,1,0.715321662601,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
Love.jpg,a,,,0,9,9,6,,,,,,,,,,a,1,0.444656590402,,,,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,0,0,7,,,,a,1,0.9361319787,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,1,1,6,,,,l,1,0.773407786106,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,2,2,9,,,,a,1,0.88838330314,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
,,char_janos.jpg,a,,,,,0,0,0,0,None,0,3,3,1,,,,a,1,0.776325273611,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
,,char_matthias.jpg,l,,,,,0,0,0,0,None,0,4,4,4,,,,a,0,0.408995444743,001,1,1,60.0601636183,IAT-1.3,2015_jul_20_1345,1,
